"Shops","Websites"
"Пятёрочка","https://5ka.ru/special_offers"
"Перекрёсток","https://www.perekrestok.ru/"
"Магнит","https://edadeal.ru/sankt-peterburg/retailers/magnit-univer"
"Ашан","https://edadeal.ru/sankt-peterburg/retailers/auchan"
"Дикси",
"Spar (Eurospar)","https://edadeal.ru/sankt-peterburg/retailers/eurospar"
"О'КЕЙ","deal.ru/sankt-peterburg/retailers/okmarket-giper"
"Лента","https://edadeal.ru/sankt-peterburg/retailers/lenta-giper"
"Карусель","https://karusel.ru/catalog/"
"Prisma","https://edadeal.ru/sankt-peterburg/retailers/prismamarket_giper"
